City,Country,Date (Unix Timestamp),Latitude,Longitude,Max Temperature(F),Cloudiness(%),Humidity(%),Wind Speed(mph)
aberdeen,US,1529805180,45.47,-98.49,68,90,94,4.7
abnub,EG,1529805600,27.27,31.15,78.8,0,54,20.8
acari,BR,1529809248,-6.44,-36.64,67.9,8,87,11.34
adrar,DZ,1529805600,27.87,-0.29,82.4,0,18,8.05
adwa,ET,1529809337,14.16,38.9,54.04,48,95,2.51
agadez,NE,1529809293,16.97,7.99,73.57,68,74,9.55
ahipara,NZ,1529808024,-35.17,173.16,57.19,76,93,16.49
airai,TL,1529808059,-8.93,125.41,80.86,0,43,2.84
aitape,PG,1529808528,-3.15,142.36,80.5,64,100,3.62
ajdabiya,LY,1529809302,30.75,20.22,72.22,0,47,8.43
aklavik,CA,1529805600,68.22,-135.01,42.8,90,75,9.17
albany,US,1529806260,42.65,-73.75,60.8,90,87,3.36
aldama,MX,1529809331,22.92,-98.09,83.11,68,94,13.8
alekseyevskoye,RU,1529809281,45.2,43.58,74.47,36,38,5.75
almaznyy,RU,1529809233,48.03,40.04,73.21,88,62,7.76
alofi,NU,1529805600,-19.06,-169.92,80.6,68,69,16.11
aloleng,PH,1529809193,16.13,119.78,84.46,24,100,5.19
along,IN,1529808329,28.17,94.8,70.15,80,97,1.95
alta floresta,BR,1529809140,-9.87,-56.08,76.45,0,61,3.18
altamira,BR,1529809194,-3.2,-52.21,74.56,24,94,3.85
altay,CN,1529808169,47.83,88.13,66.64,0,49,2.28
alyangula,AU,1529809362,-13.85,136.42,79.51,32,84,15.03
amahai,ID,1529809107,-3.31,129,78.43,88,100,9.78
ambagarh chauki,IN,1529809319,20.78,80.75,84.91,24,76,11.56
ambilobe,MG,1529808340,-13.19,49.05,65.65,0,88,5.19
ambon,FR,1529807400,47.55,-2.56,59,0,72,6.93
anadyr,RU,1529805600,64.73,177.51,50,75,71,11.18
ancud,CL,1529808507,-41.87,-73.83,27.58,0,81,0.94
anloga,GH,1529805600,5.79,0.9,75.2,40,94,3.36
antalaha,MG,1529809270,-14.9,50.28,70.42,44,96,10.78
antofagasta,CL,1529805600,-23.65,-70.4,55.4,0,76,3.36
araouane,ML,1529808988,18.9,-3.53,81.67,36,24,2.73
areosa,PT,1529807400,41.72,-8.86,71.6,0,93,3.51
arles,FR,1529807400,43.68,4.63,68,0,48,6.93
arman,RU,1529807400,59.7,150.17,77,20,29,4.47
arraial do cabo,BR,1529808316,-22.97,-42.02,71.5,0,87,17.05
atar,MR,1529808378,20.52,-13.05,75.01,0,35,4.07
athabasca,CA,1529809239,54.72,-113.29,71.05,44,79,5.97
atuona,PF,1529807871,-9.8,-139.03,80.59,0,100,17.72
augusto correa,BR,1529809253,-1.02,-46.63,75.64,12,90,5.3
avarua,CK,1529805600,-21.21,-159.78,80.6,40,78,5.82
avera,US,1529805300,33.19,-82.53,80.6,1,83,3.36
axim,GH,1529808464,4.87,-2.24,76.72,92,100,6.87
aykhal,RU,1529809089,65.95,111.51,71.59,20,60,3.62
bahia blanca,AR,1529809255,-38.72,-62.27,35.41,0,80,12.24
bakchar,RU,1529809326,57.02,82.07,71.86,0,57,1.61
bambanglipuro,ID,1529809247,-7.95,110.28,78.16,88,88,7.2
bambous virieux,MU,1529805600,-20.34,57.76,73.4,75,64,10.29
banamba,ML,1529809305,13.55,-7.45,78.79,76,74,9.33
banda aceh,ID,1529809089,5.56,95.32,83.02,48,79,2.73
bandarbeyla,SO,1529808172,9.49,50.81,77.08,44,81,31.25
bandundu,CD,1529809351,-3.32,17.38,71.68,0,93,2.17
banmankhi,IN,1529809299,25.89,87.19,79.06,92,94,9.66
baracoa,CU,1529809272,20.35,-74.5,78.97,0,100,7.31
barrow,AR,1529808017,-38.31,-60.23,38.38,0,40,17.16
baruun-urt,MN,1529808541,46.68,113.28,73.66,88,56,13.24
basar,IN,1529807400,27.98,94.69,78.8,90,94,1.95
batagay-alyta,RU,1529809246,67.8,130.41,75.91,0,37,4.07
batavia,US,1529807520,43,-78.19,68,90,93,5.82
batemans bay,AU,1529809263,-35.71,150.18,54.49,0,82,4.85
bathsheba,BB,1529805600,13.22,-59.52,80.6,75,78,17.22
bay roberts,CA,1529805600,47.58,-53.28,53.6,75,46,33.33
baykit,RU,1529809050,61.68,96.39,74.02,0,64,4.41
belebey,RU,1529809264,54.12,54.12,68.26,0,58,6.87
beloha,MG,1529808457,-25.17,45.06,58.63,0,89,8.66
benguela,AO,1529809209,-12.58,13.4,68.53,88,100,1.61
berberati,CF,1529809317,4.26,15.79,66.64,32,98,2.84
berdigestyakh,RU,1529809299,62.1,126.7,67.72,80,65,3.62
bergen op zoom,NL,1529807100,51.5,4.29,57.2,90,100,2.24
beringovskiy,RU,1529808504,63.05,179.32,43.33,92,100,11.12
berlevag,NO,1529808518,70.86,29.09,44.59,68,95,14.81
bermeo,ES,1529807400,43.42,-2.72,57.2,0,87,4.7
bethel,US,1529805180,60.79,-161.76,55.4,75,58,9.17
beyneu,KZ,1529809364,45.32,55.19,77.98,0,28,4.41
bhilwara,IN,1529809343,25.35,74.64,86.08,8,69,8.43
bilibino,RU,1529809339,68.06,166.44,64.12,64,82,0.38
bilma,NE,1529808476,18.69,12.92,82.93,44,37,3.4
bima,ID,1529809331,-8.45,118.73,83.47,24,70,6.64
bintulu,MY,1529805600,3.17,113.03,73.4,90,100,2.24
birjand,IR,1529805600,32.86,59.22,73.4,0,17,9.17
blairmore,CA,1529805600,49.61,-114.44,59,90,82,9.17
bluff,AU,1529808046,-23.58,149.07,73.84,20,32,8.55
